UKHAB,Condition,Label
Allotments,Fairly Good,2. Fairly Good
Aquifer fed naturally fluctuating water bodies,Fairly Good,2. Fairly Good
Artificial features of hard structures,Fairly Good,2. Fairly Good
Artificial hard structures,Fairly Good,2. Fairly Good
Artificial hard structures with integrated greening of grey infrastructure (IGGI),Fairly Good,2. Fairly Good
Artificial littoral biogenic reefs,Fairly Good,2. Fairly Good
Artificial littoral coarse sediment,Fairly Good,2. Fairly Good
Artificial littoral mixed sediments,Fairly Good,2. Fairly Good
Artificial littoral mud,Fairly Good,2. Fairly Good
Artificial littoral muddy sand,Fairly Good,2. Fairly Good
Artificial littoral sand,Fairly Good,2. Fairly Good
Artificial littoral seagrass,Fairly Good,2. Fairly Good
Artificial saltmarshes and saline reedbeds,Fairly Good,2. Fairly Good
Bare ground,Fairly Good,2. Fairly Good
Bioswale,Fairly Good,2. Fairly Good
Blackthorn scrub,Fairly Good,2. Fairly Good
Blanket bog,Fairly Good,2. Fairly Good
Biodiverse green roof,Fairly Good,2. Fairly Good
Calaminarian grasslands,Fairly Good,2. Fairly Good
Cemeteries and churchyards,Fairly Good,2. Fairly Good
Coastal lagoons,Fairly Good,2. Fairly Good
Coastal sand dunes,Fairly Good,2. Fairly Good
Coastal vegetated shingle,Fairly Good,2. Fairly Good
Depressions on peat substrates (H7150),Fairly Good,2. Fairly Good
Dunes with sea buckthorn (H2160),Fairly Good,2. Fairly Good
Features of littoral rock,Fairly Good,2. Fairly Good
"Features of littoral rock - on peat, clay or chalk",Fairly Good,2. Fairly Good
Features of littoral sediment,Fairly Good,2. Fairly Good
Fens (upland and lowland),Fairly Good,2. Fairly Good
Floodplain wetland mosaic and CFGM,Fairly Good,2. Fairly Good
Gorse scrub,Fairly Good,2. Fairly Good
Hawthorn scrub,Fairly Good,2. Fairly Good
Hazel scrub,Fairly Good,2. Fairly Good
High alkalinity lakes,Fairly Good,2. Fairly Good
High energy littoral rock,Fairly Good,2. Fairly Good
"High energy littoral rock - on peat, clay or chalk",Fairly Good,2. Fairly Good
Inland rock outcrop and scree habitats,Fairly Good,2. Fairly Good
Intensive green roof,Fairly Good,2. Fairly Good
Limestone pavement,Fairly Good,2. Fairly Good
Littoral biogenic reefs - Mussels,Fairly Good,2. Fairly Good
Littoral biogenic reefs - Sabellaria,Fairly Good,2. Fairly Good
Littoral coarse sediment,Fairly Good,2. Fairly Good
Littoral mixed sediments,Fairly Good,2. Fairly Good
Littoral mud,Fairly Good,2. Fairly Good
Littoral muddy sand,Fairly Good,2. Fairly Good
Littoral sand,Fairly Good,2. Fairly Good
Littoral seagrass,Fairly Good,2. Fairly Good
"Littoral seagrass on peat, clay or chalk",Fairly Good,2. Fairly Good
Low alkalinity lakes,Fairly Good,2. Fairly Good
Low energy littoral rock,Fairly Good,2. Fairly Good
"Low energy littoral rock - on peat, clay or chalk",Fairly Good,2. Fairly Good
Lowland beech and yew woodland,Fairly Good,2. Fairly Good
Lowland calcareous grassland,Fairly Good,2. Fairly Good
Lowland dry acid grassland,Fairly Good,2. Fairly Good
Lowland heathland,Fairly Good,2. Fairly Good
Lowland meadows,Fairly Good,2. Fairly Good
Lowland mixed deciduous woodland,Fairly Good,2. Fairly Good
Lowland raised bog,Fairly Good,2. Fairly Good
Maritime cliff and slopes,Fairly Good,2. Fairly Good
Marl lakes,Fairly Good,2. Fairly Good
Mixed scrub,Fairly Good,2. Fairly Good
Moderate alkalinity lakes,Fairly Good,2. Fairly Good
Moderate energy littoral rock,Fairly Good,2. Fairly Good
"Moderate energy littoral rock - on peat, clay or chalk",Fairly Good,2. Fairly Good
Modified grassland,Fairly Good,2. Fairly Good
Mountain heaths and willow scrub,Fairly Good,2. Fairly Good
Native pine woodlands,Fairly Good,2. Fairly Good
Open mosaic habitats on previously developed land,Fairly Good,2. Fairly Good
Ornamental lake or pond,Fairly Good,2. Fairly Good
Other coniferous woodland,Fairly Good,2. Fairly Good
Other inland rock and scree,Fairly Good,2. Fairly Good
Other lowland acid grassland,Fairly Good,2. Fairly Good
Other neutral grassland,Fairly Good,2. Fairly Good
Other Scot's pine woodland,Fairly Good,2. Fairly Good
Other woodland; broadleaved,Fairly Good,2. Fairly Good
Other woodland; mixed,Fairly Good,2. Fairly Good
Peat lakes,Fairly Good,2. Fairly Good
Ponds (non-priority habitat),Fairly Good,2. Fairly Good
Ponds (priority habitat),Fairly Good,2. Fairly Good
Purple moor grass and rush pastures,Fairly Good,2. Fairly Good
Rain garden,Fairly Good,2. Fairly Good
Reedbeds,Fairly Good,2. Fairly Good
Reservoirs,Fairly Good,2. Fairly Good
Ruderal/Ephemeral,Fairly Good,2. Fairly Good
,,
Saltmarshes and saline reedbeds,Fairly Good,2. Fairly Good
,,
Other sea buckthorn scrub,Condition Assessment N/A,7. Condition Assessment N/A
Sustainable drainage system,Fairly Good,2. Fairly Good
Tall forbs,Fairly Good,2. Fairly Good
Tall herb communities (H6430),Fairly Good,2. Fairly Good
Temporary lakes ponds and pools (H3170),Fairly Good,2. Fairly Good
Traditional orchards,Fairly Good,2. Fairly Good
Transition mires and quaking bogs (H7140),Fairly Good,2. Fairly Good
Upland acid grassland,Fairly Good,2. Fairly Good
Upland birchwoods,Fairly Good,2. Fairly Good
Upland calcareous grassland,Fairly Good,2. Fairly Good
Upland hay meadows,Fairly Good,2. Fairly Good
Upland heathland,Fairly Good,2. Fairly Good
Upland mixed ashwoods,Fairly Good,2. Fairly Good
Upland oakwood,Fairly Good,2. Fairly Good
,,
Vacant or derelict land,Fairly Good,2. Fairly Good
Wet woodland,Fairly Good,2. Fairly Good
Willow scrub,Fairly Good,2. Fairly Good
