ID,New
Coastal lagoonsLost,Coastal lagoons
Coastal lagoonsLost,Coastal saltmarsh
Coastal lagoonsLost,Cropland
Coastal lagoonsLost,Grassland
Coastal lagoonsLost,Heathland and shrub
Coastal lagoonsLost,Intertidal hard structures
Coastal lagoonsLost,Intertidal sediment
Coastal lagoonsLost,Lakes
Coastal lagoonsLost,Rocky shore
Coastal lagoonsLost,Sparsely vegetated land
Coastal lagoonsLost,Urban
Coastal lagoonsLost,Wetland
Coastal lagoonsLost,Woodland and forest
Coastal lagoonsLost,Watercourse footprint
Coastal saltmarshLost,Coastal lagoons
Coastal saltmarshLost,Coastal saltmarsh
Coastal saltmarshLost,Cropland
Coastal saltmarshLost,Grassland
Coastal saltmarshLost,Heathland and shrub
Coastal saltmarshLost,Intertidal hard structures
Coastal saltmarshLost,Intertidal sediment
Coastal saltmarshLost,Lakes
Coastal saltmarshLost,Rocky shore
Coastal saltmarshLost,Sparsely vegetated land
Coastal saltmarshLost,Urban
Coastal saltmarshLost,Wetland
Coastal saltmarshLost,Woodland and forest
Coastal saltmarshLost,Watercourse footprint
CroplandLost,Coastal lagoons
CroplandLost,Coastal saltmarsh
CroplandLost,Cropland
CroplandLost,Grassland
CroplandLost,Heathland and shrub
CroplandLost,Intertidal hard structures
CroplandLost,Intertidal sediment
CroplandLost,Lakes
CroplandLost,Rocky shore
CroplandLost,Sparsely vegetated land
CroplandLost,Urban
CroplandLost,Wetland
CroplandLost,Woodland and forest
CroplandLost,Watercourse footprint
GrasslandLost,Coastal lagoons
GrasslandLost,Coastal saltmarsh
GrasslandLost,Cropland
GrasslandLost,Grassland
GrasslandLost,Heathland and shrub
GrasslandLost,Intertidal hard structures
GrasslandLost,Intertidal sediment
GrasslandLost,Lakes
GrasslandLost,Rocky shore
GrasslandLost,Sparsely vegetated land
GrasslandLost,Urban
GrasslandLost,Wetland
GrasslandLost,Woodland and forest
GrasslandLost,Watercourse footprint
Heathland and shrubLost,Coastal lagoons
Heathland and shrubLost,Coastal saltmarsh
Heathland and shrubLost,Cropland
Heathland and shrubLost,Grassland
Heathland and shrubLost,Heathland and shrub
Heathland and shrubLost,Intertidal hard structures
Heathland and shrubLost,Intertidal sediment
Heathland and shrubLost,Lakes
Heathland and shrubLost,Rocky shore
Heathland and shrubLost,Sparsely vegetated land
Heathland and shrubLost,Urban
Heathland and shrubLost,Wetland
Heathland and shrubLost,Woodland and forest
Heathland and shrubLost,Watercourse footprint
Intertidal hard structuresLost,Coastal lagoons
Intertidal hard structuresLost,Coastal saltmarsh
Intertidal hard structuresLost,Cropland
Intertidal hard structuresLost,Grassland
Intertidal hard structuresLost,Heathland and shrub
Intertidal hard structuresLost,Intertidal hard structures
Intertidal hard structuresLost,Intertidal sediment
Intertidal hard structuresLost,Lakes
Intertidal hard structuresLost,Rocky shore
Intertidal hard structuresLost,Sparsely vegetated land
Intertidal hard structuresLost,Urban
Intertidal hard structuresLost,Wetland
Intertidal hard structuresLost,Woodland and forest
Intertidal hard structuresLost,Watercourse footprint
Intertidal sedimentLost,Coastal lagoons
Intertidal sedimentLost,Coastal saltmarsh
Intertidal sedimentLost,Cropland
Intertidal sedimentLost,Grassland
Intertidal sedimentLost,Heathland and shrub
Intertidal sedimentLost,Intertidal hard structures
Intertidal sedimentLost,Intertidal sediment
Intertidal sedimentLost,Lakes
Intertidal sedimentLost,Rocky shore
Intertidal sedimentLost,Sparsely vegetated land
Intertidal sedimentLost,Urban
Intertidal sedimentLost,Wetland
Intertidal sedimentLost,Woodland and forest
Intertidal sedimentLost,Watercourse footprint
LakesLost,Coastal lagoons
LakesLost,Coastal saltmarsh
LakesLost,Cropland
LakesLost,Grassland
LakesLost,Heathland and shrub
LakesLost,Intertidal hard structures
LakesLost,Intertidal sediment
LakesLost,Lakes
LakesLost,Rocky shore
LakesLost,Sparsely vegetated land
LakesLost,Urban
