Value,Description
Non-native and ornamental hedgerow,Non-native and ornamental hedgerow
Line of trees,Line of trees
Line of trees - associated with bank or ditch,Line of trees - associated with bank or ditch
Ecologically valuable line of trees,Ecologically valuable line of trees
Ecologically valuable line of trees - associated with bank or ditch,Ecologically valuable line of trees - associated with bank or ditch
Native hedgerow,Native hedgerow
Native hedgerow - associated with bank or ditch,Native hedgerow - associated with bank or ditch
Native hedgerow with trees,Native hedgerow with trees
Native hedgerow with trees - associated with bank or ditch,Native hedgerow with trees - associated with bank or ditch
Species-rich native hedgerow,Species-rich native hedgerow
Species-rich native hedgerow - associated with bank or ditch,Species-rich native hedgerow - associated with bank or ditch
Species-rich native hedgerow with trees,Species-rich native hedgerow with trees
Species-rich native hedgerow with trees - associated with bank or ditch,Species-rich native hedgerow with trees - associated with bank or ditch
To be created,To be created
