Value,Description
Non-native and ornamental hedgerowEnhanced,N/A
Non-native and ornamental hedgerowLost,N/A
Non-native and ornamental hedgerowRetained,Non-native and ornamental hedgerow
Line of trees - associated with bank or ditchEnhanced,Line of trees - associated with bank or ditch
Line of trees - associated with bank or ditchLost,N/A
Line of trees - associated with bank or ditchRetained,Line of trees - associated with bank or ditch
Ecologically valuable line of trees - associated with bank or ditchEnhanced,Ecologically valuable line of trees - associated with bank or ditch
Ecologically valuable line of trees - associated with bank or ditchLost,N/A
Ecologically valuable line of trees - associated with bank or ditchRetained,Ecologically valuable line of trees - associated with bank or ditch
Ecologically valuable line of treesEnhanced,Ecologically valuable line of trees
Ecologically valuable line of treesLost,N/A
Ecologically valuable line of treesRetained,Ecologically valuable line of trees
Line of treesEnhanced,Line of trees
Line of treesLost,N/A
Line of treesRetained,Line of trees
Native hedgerow - associated with bank or ditchEnhanced,Native hedgerow - associated with bank or ditch
Native hedgerow - associated with bank or ditchLost,N/A
Native hedgerow - associated with bank or ditchRetained,Native hedgerow - associated with bank or ditch
Native hedgerow with trees - associated with bank or ditchEnhanced,Native hedgerow with trees - associated with bank or ditch
Native hedgerow with trees - associated with bank or ditchLost,N/A
Native hedgerow with trees - associated with bank or ditchRetained,Native hedgerow with trees - associated with bank or ditch
Native hedgerow with treesEnhanced,Native hedgerow with trees
Native hedgerow with treesLost,N/A
Native hedgerow with treesRetained,Native hedgerow with trees
Native hedgerowEnhanced,Native hedgerow
Native hedgerowLost,N/A
Native hedgerowRetained,Native hedgerow
Species-rich native hedgerow - associated with bank or ditchEnhanced,Species-rich native hedgerow - associated with bank or ditch
Species-rich native hedgerow - associated with bank or ditchLost,N/A
Species-rich native hedgerow - associated with bank or ditchRetained,Species-rich native hedgerow - associated with bank or ditch
Species-rich native hedgerow with trees - associated with bank or ditchEnhanced,Species-rich native hedgerow with trees - associated with bank or ditch
Species-rich native hedgerow with trees - associated with bank or ditchLost,N/A
Species-rich native hedgerow with trees - associated with bank or ditchRetained,Species-rich native hedgerow with trees - associated with bank or ditch
Species-rich native hedgerow with treesEnhanced,Species-rich native hedgerow with trees
Species-rich native hedgerow with treesLost,N/A
Species-rich native hedgerow with treesRetained,Species-rich native hedgerow with trees
Species-rich native hedgerowEnhanced,Species-rich native hedgerow
Species-rich native hedgerowLost,N/A
Species-rich native hedgerowRetained,Species-rich native hedgerow
To be createdCreated,Non-native and ornamental hedgerow
To be createdCreated,Line of trees
To be createdCreated,Line of trees - associated with bank or ditch
To be createdCreated,Ecologically valuable line of trees
To be createdCreated,Ecologically valuable line of trees - associated with bank or ditch
To be createdCreated,Native hedgerow
To be createdCreated,Native hedgerow - associated with bank or ditch
To be createdCreated,Native hedgerow with trees
To be createdCreated,Native hedgerow with trees - associated with bank or ditch
To be createdCreated,Species-rich native hedgerow
To be createdCreated,Species-rich native hedgerow - associated with bank or ditch
To be createdCreated,Species-rich native hedgerow with trees
To be createdCreated,Species-rich native hedgerow with trees - associated with bank or ditch
Ecologically valuable line of treesEnhanced,Ecologically valuable line of trees - associated with bank or ditch
Ecologically valuable line of treesEnhanced,Species-rich native hedgerow with trees - associated with bank or ditch
Ecologically valuable line of treesEnhanced,Species-rich native hedgerow with trees
Ecologically valuable line of treesEnhanced,Native hedgerow with trees - associated with bank or ditch
Ecologically valuable line of trees - associated with bank or ditchEnhanced,Species-rich native hedgerow with trees - associated with bank or ditch
Ecologically valuable line of trees - associated with bank or ditchEnhanced,Native hedgerow with trees - associated with bank or ditch
Line of treesEnhanced,Line of trees - associated with bank or ditch
Line of treesEnhanced,Species-rich native hedgerow with trees - associated with bank or ditch
Line of treesEnhanced,Species-rich native hedgerow with trees
Line of treesEnhanced,Native hedgerow with trees - associated with bank or ditch
Line of treesEnhanced,Native hedgerow with trees
Line of trees - associated with bank or ditchEnhanced,Species-rich native hedgerow with trees - associated with bank or ditch
Line of trees - associated with bank or ditchEnhanced,Native hedgerow with trees - associated with bank or ditch
Native hedgerow - associated with bank or ditchEnhanced,Species-rich native hedgerow - associated with bank or ditch
Native hedgerow - associated with bank or ditchEnhanced,Species-rich native hedgerow with trees - associated with bank or ditch
Native hedgerow - associated with bank or ditchEnhanced,Native hedgerow with trees - associated with bank or ditch
Native hedgerow with trees - associated with bank or ditchEnhanced,Species-rich native hedgerow with trees - associated with bank or ditch
Native hedgerow with treesEnhanced,Species-rich native hedgerow with trees - associated with bank or ditch
Native hedgerow with treesEnhanced,Species-rich native hedgerow with trees
Native hedgerow with treesEnhanced,Native hedgerow with trees - associated with bank or ditch
Native hedgerowEnhanced,Native hedgerow with trees
Native hedgerowEnhanced,Species-rich native hedgerow
Native hedgerowEnhanced,Species-rich native hedgerow - associated with bank or ditch
Native hedgerowEnhanced,Species-rich native hedgerow with trees
Native hedgerowEnhanced,Species-rich native hedgerow with trees - associated with bank or ditch
Native hedgerowEnhanced,Native hedgerow - associated with bank or ditch
Native hedgerowEnhanced,Native hedgerow with trees - associated with bank or ditch
Species-rich native hedgerow - associated with bank or ditchEnhanced,Species-rich native hedgerow with trees - associated with bank or ditch
Species-rich native hedgerow with treesEnhanced,Species-rich native hedgerow with trees - associated with bank or ditch
Species-rich native hedgerowEnhanced,Species-rich native hedgerow with trees
Species-rich native hedgerowEnhanced,Species-rich native hedgerow - associated with bank or ditch
Species-rich native hedgerowEnhanced,Species-rich native hedgerow with trees - associated with bank or ditch
Lost,
