Value,Options,Label
To be created,Created,1. Created
Canals,Enhanced,3. Enhanced
Culvert,Enhanced,3. Enhanced
Ditches,Enhanced,3. Enhanced
Other rivers and streams,Enhanced,3. Enhanced
Priority habitat,Enhanced,3. Enhanced
Canals,Lost,4. Lost
Culvert,Lost,4. Lost
Ditches,Lost,4. Lost
Other rivers and streams,Lost,4. Lost
Priority habitat,Lost,4. Lost
Canals,Retained,2. Retained
Culvert,Retained,2. Retained
Ditches,Retained,2. Retained
Other rivers and streams,Retained,2. Retained
Priority habitat,Retained,2. Retained
